Complaints,Urgency
"The main water pipe has burst, flooding my kitchen.",High 
My toilet is overflowing and won?t stop.,High 
There is no running water in the house.,High 
"The sink drain is completely blocked, and water is not passing through.",High 
"The shower is leaking heavily, and the bathroom is flooded.",High 
The water pressure in my shower is too low.,Medium
The bathroom sink is leaking slightly underneath.,Medium
The bathtub drain takes too long to empty.,Medium
The outdoor tap is leaking continuously.,Medium
The toilet flush works but is very weak.,Medium
The kitchen tap makes a loud noise when turned on.,Low
The sink faucet is loose and wobbly.,Low
The hot water in my shower takes too long to come on.,Low
The tap in the backyard is dripping slightly.,Low
The water heater makes weird noises sometimes.,Low
There is no power in my room.,High 
The electrical wiring in my house is sparking.,High 
The circuit breaker keeps tripping repeatedly.,High 
My room?s lights flicker and then go off by themselves.,High 
A burning smell is coming from my power socket.,High 
One of my ceiling lights keeps flickering randomly.,Medium
The fan in my living room is making a loud noise.,Medium
My room?s power socket only works sometimes.,Medium
The switch for my kitchen light is loose and not working properly.,Medium
Some of the light switches in the house don?t function.,Medium
The bulb in my hallway is dim even after changing it.,Low
The bathroom light switch is stiff when pressing.,Low
"My power socket cover is broken, but it still works.",Low
The extension cord in the common area seems old and unsafe.,Low
The outdoor light doesn?t work at night but is fine in the morning.,Low
"My internet is completely down, and I can?t connect at all.",High 
The WiFi router is not turning on.,High 
"My WiFi speed is extremely slow, making it unusable.",High 
My internet disconnects every few minutes.,High 
The WiFi signal doesn?t reach my room at all.,High 
The internet slows down drastically every evening.,Medium
Some websites don?t load properly while others do.,Medium
The router needs to be restarted several times a day.,Medium
My online meetings keep freezing due to bad connection.,Medium
"Only certain devices connect to the WiFi, others don?t",Medium
The internet is a bit slower than usual.,Low
My YouTube videos take longer to load in HD.,Low
The router sometimes makes a humming noise.,Low
The WiFi disconnects from my phone but not my laptop.,Low
The modem light blinks more than usual.,Low
"My bed frame broke, and I can?t sleep on it.",High
My wardrobe door has fallen off.,High
The chair in my room collapsed while I was sitting on it.,High
The dining table is wobbly and unsafe.,High
My study desk has completely fallen apart.,High
One of the dining chairs is missing a leg.,Medium
My wardrobe door handle is loose.,Medium
My sofa?s armrest is coming off.,Medium
The hinges on my cupboard door are weak.,Medium
The bedside drawer is hard to pull open.,Medium
My bed makes a creaking noise when I turn.,Low
The paint on my wooden desk is chipping.,Low
The edges of my coffee table are rough.,Low
One of the sofa cushions is slightly torn.,Low
The wardrobe has a minor scratch on its surface.,Low
"The metal gate hinge has broken, making it unusable.",High
My bed frame has detached from the welding joints.,High
The staircase railing is loose and unsafe.,High
The balcony fence has detached from one side.,High
The burglar bars on my window are loose and can be removed easily.,High
The hinges on my metal door are making loud noises.,Medium
The welding on my kitchen rack is coming apart.,Medium
My gate doesn?t close smoothly due to a weak welding joint.,Medium
My metal wardrobe frame is slightly bent.,Medium
The steel rods on my window grill have minor gaps.,Medium
The outdoor railing has rust patches.,Low
The gate latch makes a squeaky sound when closing.,Low
Some bolts on the staircase railing seem slightly loose.,Low
My metal chair has a minor crack in the welding.,Low
The joint on my metal table frame looks weak but still holds.,Low
"My toilet is leaking from the bottom, flooding the bathroom.",High
"A major pipe in the kitchen has burst, and water is spraying everywhere.",High
"The water meter is malfunctioning, and I am not receiving water.",High
"My sink is completely clogged, and water won?t drain at all.",High
